TRNO,CLASS_GROUP
27996,1AMSaifee
27999,1AMSaifee
28012,1AMSaifee
28016,1AMSaifee
28031,1AMSaifee
27960,1AMSaifee
27979,1AMSaifee
27970,1AMSaifee
27984,1AMSaifee
27747,1AMBurhani
27760,1AMBurhani
27796,1AMBurhani
27832,1AMBurhani
27845,1AMBurhani
27888,1AMBurhani
27902,1AMBurhani
27903,1AMBurhani
27910,1AMBurhani
27935,1BMSaifee
27891,1BMSaifee
27863,1BMSaifee
27881,1BMSaifee
27886,1BMSaifee
27846,1BMSaifee
27827,1BMSaifee
27803,1BMSaifee
27806,1BMSaifee
27754,1BMBurhani
27989,1BMBurhani
27968,1BMBurhani
28028,1BMBurhani
27983,1BMBurhani
28024,1BMBurhani
28008,1BMBurhani
28000,1BMBurhani
28003,1BMBurhani
28027,1CMSaifee
28032,1CMSaifee
27969,1CMSaifee
27980,1CMSaifee
28023,1CMSaifee
27753,1CMSaifee
27775,1CMSaifee
27743,1CMSaifee
27737,1CMSaifee
27739,1CMBurhani
27828,1CMBurhani
27868,1CMBurhani
27890,1CMBurhani
27905,1CMBurhani
27907,1CMBurhani
27952,1CMBurhani
27959,1CMBurhani
27917,1CMBurhani
27879,1AFSaifee
27916,1AFSaifee
27930,1AFSaifee
27945,1AFSaifee
27946,1AFSaifee
27860,1AFSaifee
27808,1AFSaifee
27813,1AFSaifee
27853,1AFSaifee
27838,1AFSaifee
27740,1AFBurhani
27742,1AFBurhani
27776,1AFBurhani
27750,1AFBurhani
27991,1AFBurhani
27986,1AFBurhani
27972,1AFBurhani
27973,1AFBurhani
28021,1AFBurhani
28009,1AFBurhani
28007,1BFSaifee
27987,1BFSaifee
27993,1BFSaifee
27995,1BFSaifee
27981,1BFSaifee
27961,1BFSaifee
27758,1BFSaifee
27794,1BFSaifee
27744,1BFSaifee
27745,1BFSaifee
27858,1BFBurhani
27817,1BFBurhani
27823,1BFBurhani
27800,1BFBurhani
27899,1BFBurhani
27937,1BFBurhani
27941,1BFBurhani
27922,1BFBurhani
27927,1BFBurhani
28038,1BFBurhani
27928,1CFSaifee
27926,1CFSaifee
27915,1CFSaifee
27949,1CFSaifee
27956,1CFSaifee
27861,1CFSaifee
27864,1CFSaifee
27870,1CFSaifee
27887,1CFSaifee
27831,1CFBurhani
27851,1CFBurhani
27842,1CFBurhani
27844,1CFBurhani
27748,1CFBurhani
27768,1CFBurhani
27982,1CFBurhani
27990,1CFBurhani
28020,1CFBurhani
28030,1CFBurhani
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
