Venues,Time,Activity,,,,,,,,,Day 1,,,,,,„«—Ê ﬂﬂÂ— Ã«„⁄… ∫ ,,,,,,,,,,,
Auditoirium,9:00:00 AM,Isteqbal,,,,,,,,,Venues,Auditoirium,Auditorium,Lobby,Auditorium,Admin Bldg,Masjid Zahra,Mawaid,Mawaid,Maskan , Rabwat,Tanzeem,Maktabat,Masjid Zahra,Academics 9-10,Mawaid,,
Auditorium,9:15 - 10:15 AM,Welcome/ Tarheeb,,,,,,,,,Time,0.375,9:15 - 10:15 AM,10:20 -10:40 AM,10:45- 11:50 AM,12:00-12:45 PM ,0.534722222,0.548611111,2:15 - 3:00 PM,3:30 - 4:50 PM,3:00 - 4:50 PM,5:00 - 6:00 PM,5:00 - 6:00 PM,0.774305556,0.791666667,0.833333333,,
Lobby,10:20 -10:40 AM,Refreshments,,,,,,,,,Activity,Isteqbal,Welcome/ Tarheeb,Refreshments,Orientation Academics and Marhala,MasooleAmm/Manshoorat/Makhzan/,Zohr Asr Namaz,Lunch,Leisure,-,Rabwat Tour,-," MaktabatFacility tour A , Book Tasting B, JHS Profiling C",Magrib Isha Namaz,"M=Academic 9 (Grp Emadi)
F: Academic 10 (Grp Ruqaiyah )",Dinner,,
Auditorium,10:45- 11:50 AM,Orientation Academics and Marhala,,,,,,,,,Day 2,,,,,,Ã«„⁄… „«—Ê ﬂﬂÂ— ∫ ,,,,,,,,,,,
Admin Bldg,12:00-12:45 PM ,MasooleAmm/Manshoorat/Makhzan/,,,,,,,,,Venues,Evan,Auditorium,Lobby,Maktabat,Tanzeem,Admin Building,Masjid Zahra,Mawaid,Mawaid,Academic 8/10 ,Academic 8/10 ,Khaimat,Masjid Zahra,Academics 9-10,Mawaid,Evan/ Sehan,
Masjid Zahra,12:50:00 PM,Zohr Asr Namaz,,,,,,,,,Time,0.322916667,8:15-10:00 AM,10:05 -10:20 AM,10:25-11:55 AM,10:25-11:55 AM,12:00-12:45 PM,0.534722222,0.548611111,2:15 - 3:15 PM,0.65625,4:00-6:00 PM,4:15 - 600 PM,0.774305556,0.791666667,0.833333333,0.864583333,
Mawaid,1:10:00 PM,Lunch,,,,,,,,,Activity,Tilawat Dua - Qa'at for Females,Jamea System Briefing,Refreshments,-,"Jamea Tour
Assembly Point ?",Jawazat Documents submission/Mahal Shifa,Zohr Asr Namaz,Lunch,Leisure,Refreshments ,Masool and Moaddib,-,Magreb Esha Namaz,"M=Academic 9 (Grp Emadi)
F: Academic 10 (Grp Ruqaiyah )",Dinner,Qasida (Majmooi),
Mawaid,2:15 - 3:00 PM,Leisure,,,,,,,,,Day 3,,,,,,"Ì™  Ê Â„«—Ê «˙∆‰œÂ ‰Ê ·‘ﬂ— ∫°",,,,,,,,,,,
Maskan ,3:30 - 4:50 PM,-,,,,,,,,,Venues,Evan,Auditorium ,Auditorium ,Tadbeer Manzili Room,Mawaid,Qa'at ,Radiant Arts,Admin Building,Masjid Zahra,Mawaid,Mawaid,Academic 8 ,Khaimat,Academics 9-10,Masjid Zahra,Mawaid,Maskan Rabwat
 Rabwat,3:00 - 4:50 PM,Rabwat Tour,,,,,,,,,Time,0.322916667,8:15-9:15 AM,9:25-10:10 AM,9:25-10:10 AM,10:15 -10:30 AM,10:35 AM - 12:00 PM,10:35 - 11:15 AM,12:00-12:45 AM,0.541666667,0.548611111,2:00 - 3:45 PM,4:00-5:15 PM,4:00 - 5:15 PM,5:30 - 6:15 PM,0.774305556,0.833333333,0.895833333
